종목코드,종목명,언론사URL,작성일자,제목,기사부분,네이버링크,카테고리
003490,대한항공,news.mt.co.kr,2024-03-12 06:31:00,"'아시아나 합병 美 승인' 앞둔 조원태 회장, 내주 대한항공 직원들 만난다",조원태 한진그룹 회장이 다음주 대한항공 직원들과 만난다. 대한항공과 아시아나항공 간 합병이 미국의 승인만을 남겨둔 상황에서 관련된 질의응답이 오갈 것으로 보인다. 12일 항공 업계에 따르면 조 회장은 오는 20일... ,https://n.news.naver.com/mnews/article/008/0005010390?sid=101,규제승인
326030,SK바이오팜,www.donga.com,2024-03-12 15:34:00,"SK바이오팜, 뇌전증 신약 ‘세노바메이트’ 처방 10만 명 돌파",SK바이오팜은 뇌전증 혁신 신약 세노바메이트가 미국과 유럽 시장에서 누적 처방 환자 수 10만 명을 돌파했다고 12일 밝혔다. 세노바메이트는 SK바이오팜이 후보물질 발굴부터 상용화까지 독자적으로 개발한... ,https://n.news.naver.com/mnews/article/020/0003552756?sid=103,신약개발
000100,유한양행,daily.hankooki.com,2024-03-12 14:46:00,"유한양행, '윌로겔 더블액션' 대용량 포장단위 출시","사진=유한양행 제공 유한양행은 위산역류, 속쓰림, 위 내용물의 역류로 인한 소화불량을 빠르게 개선하는 일반의약품 '윌로겔 더블액션 현탁액' 12포를 출시한다고 12일 밝혔다. 유한양행은 지난 2014년 7월 4포 포장 제품... ",https://daily.hankooki.com/news/articleView.html?idxno=1061259,신제품출시
377300,카카오페이,www.sisaon.co.kr,2024-03-12 16:02:00,"업비트, 신규 'BTC-ETH 듀오 전략 지수' 출시…카카오페이, 'if 디자인 어워드...","ⓒ사진제공 = 카카오페이 카카오페이, if 디자인 어워드서 본상 수상 카카오페이는 '사장님플러스'가 독일 'iF 디자인 어워드 2024'의 서비스 디자인 부문에서 본상(Winner)을 수상했다고 12일 밝혔다. iF 디자인 어워드는... ",http://www.sisaon.co.kr/news/articleView.html?idxno=159345,신제품출시
051900,LG생활건강,www.news1.kr,2024-03-12 09:27:00,"LG생활건강, 더후 비첩 자생 에센스 리뉴얼 출시",LG생활건강(051900)의 궁중 피부과학 럭셔리 코스메틱 더후는 피부 노화 완화 성분인 'NAD+'를 화장품에 구현한 고효능 안티에이징 솔루션 '비첩 자생 에센스' 4세대를 출시했다고 12일 밝혔다. 비첩 자생 에센스는... ,https://n.news.naver.com/mnews/article/421/0007404760?sid=101,신제품출시
011170,롯데케미칼,www.viva100.com,2024-03-13 06:42:00,“한때는 효자였는데”…석유화학 공장 인수자 찾는 LG·롯데,"“한때는 효자였는데”…석유화학 공장 인수자 찾는 LG·롯데 LG화학, 롯데케미칼 등 국내 대표 석유화학업체들이 범용 석유화학 생산시설 정리 수순에 들어갔다. 한때는 ‘알짜’ 사업으로 각광받던 기초 석유화학... ",https://www.viva100.com/main/view.php?key=20240312010003457,인수합병
036570,엔씨소프트,www.inven.co.kr,2024-03-13 11:28:00,"[쓰론앤리버티] 엔씨 'TL', 출시 100일 기념 이벤트 진행","자료제공 - 엔씨소프트 ㈜엔씨소프트(대표 김택진, 이하 엔씨(NC))의 신작 MMORPG(다중접속역할수행게임) 'THRONE AND LIBERTY(쓰론 앤 리버티, 이하 TL)'가 던전 콘텐츠를 업데이트하고, 론칭 100일을 기념한 이벤트를... ",https://sports.news.naver.com/news.nhn?oid=442&aid=0000170606,신제품출시
021240,코웨이,www.newsis.com,2024-03-12 15:29:00,"코웨이, '셀프관리' 고객에도 코디 방문 케어서비스 출시","코웨이는 직접 제품을 관리하는 고객도 코웨이 케어서비스 전문가의 방문관리를 받을 수 있는 '일회성 코디방문 케어서비스'를 선보인다고 12일 밝혔다. 서비스는 일회성 유상으로 제공되며, 대상 제품은 코웨이 정수기와... ",https://n.news.naver.com/mnews/article/003/0012421908?sid=101,신제품출시
271560,오리온,www.thebell.co.kr,2024-03-13 09:22:00,"[더벨][오리온 레고켐바이오 인수]오리온, 레고켐바이오 이사회 입성 3세 담서...",오리온을 최대주주로 맞이한 레고켐바이오가 오리온 핵심 인물들을 이사회에 올린다. 오리온그룹 허인철 부회장을 비롯해 딜의 실무를 주도한 김형석 전무가 포함됐다. 오리온그룹 오너 3세 담서원 상무도 이사회 후보로... ,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202403121719090880109318,인수합병
004990,롯데지주,www.moneys.co.kr,2024-03-12 06:16:00,'iM금융지주'로 엿본 성장 전략은… M&A로 비은행 강화,"황 행장은 국내 8개 금융지주 가운데 유일한 50대 회장에 이름을 올리며 새로운 활기를 불어넣을 것으로... 손해보험사로는 롯데손해보험과 MG손해보험, 생명보험사로는 KDB생명, ABL생명, 동양생명... ",https://n.news.naver.com/mnews/article/417/0000987991?sid=101,인수합병
383220,F&F,www.ziksir.com,2024-03-12 16:42:00,"F&F 수프라, 스트릿 아웃도어룩 '3 레이어 바람막이' 출시",수프라 3 레이어 바람막이 화보 [F&F]  F&F가 전개하는 스트릿 라이프스타일 브랜드 수프라가 24SS 스트릿 아웃도어 컬렉션의 두 번째 화보를 공개했다고 12일 밝혔다. 스트릿 헤리티지를 기반으로 감각적인 라이프스타일... ,https://www.ziksir.com/news/articleView.html?idxno=53515,신제품출시
112040,위메이드,daily.hankooki.com,2024-03-12 17:06:00,"위메이드, '나이트 크로우' 블록체인 적용 글로벌 버전 출시","사진=위메이드 위메이드는 매드엔진에서 개발한 MMORPG(다중접속역할수행게임) '나이트 크로우'의 글로벌 정식 서비스를 시작했다고 12일 밝혔다. 전세계 170개국(한국, 중국 제외) 대상으로 영어, 일본어, 태국어 등을... ",https://daily.hankooki.com/news/articleView.html?idxno=1061330,신제품출시
008770,호텔신라,www.businessplus.kr,2024-03-13 08:48:00,"서울신라호텔, 봄 기운 만끽하는 러너스 패키지 출시",서울신라호텔은 서울하프마라톤과 연계해 몸과 마음의 건강을 모두 충전할 수 있는 웰니스 스테이 객실 패키지를 선보인다고 13일 밝혔다. 사진=서울신라호텔 서울신라호텔은 남산 인근에 위치해 한양도성... ,https://www.businessplus.kr/news/articleView.html?idxno=56400,신제품출시
028670,팬오션,www.lkp.news,2024-03-12 14:06:00,"[기업탐구] 동원산업, M&A 3번 실패 왜?...""가격 재고재다 '손절'"" 보수적 투...","투자은행 업계에 따르면 하림그룹은 벌크선을 운영하는 자회사 팬오션을 앞세워 재무적 투자자인 JKL파트너스와 컨소시엄을 구성했다. 앞서 하림그룹은 지난 2015년에도 JKL파트너스와 손을 잡고 팬오션을 지분 58%, 1조... ",http://www.lkp.news/news/articleView.html?idxno=45119,인수합병
004370,농심,www.farminsight.net,2024-03-13 11:36:00,"농심, '누들핏 사발면맛' 2종 출시",농심은 오는 18일 용기면 브랜드 '누들핏' 신제품 '누들핏 육개장사발면맛'과 '누들핏 김치사발면맛'을 출시한다고 밝혔다. 지난 2011년부터 10년 넘게 용기면 시장 1위를 지키고 있는 '농심 사발면' 고유의 맛과 칼로리... ,https://www.farminsight.net/news/articleView.html?idxno=12220,신제품출시
023530,롯데쇼핑,www.newsis.com,2024-03-12 18:27:00,"롯데쇼핑, 롯데수원역쇼핑타운 합병 마무리…""경영효율화 차원""",롯데쇼핑이 수원역 인근 롯데몰과 롯데백화점을 운영하는 롯데수원역쇼핑타운 흡수합병을 마쳤다. 12일 금융감독원 전자공시시스템에 따르면 롯데쇼핑은 롯데수원역쇼핑타운 주식회사 흡수합병을 마무리했다.... ,https://n.news.naver.com/mnews/article/003/0012422550?sid=101,인수합병
009420,한올바이오파마,www.pharmnews.com,2024-03-13 08:46:00,"한올바이오파마-이뮤노반트, 'HL161ANS' 미국 특허 승인","한올바이오파마의 미국 파트너사 이뮤노반트(Immunovant)가 미국 특허 상표청(United States Patent and Trademark Office, USPTO)으로부터 자가면역질환 치료제 'IMVT-1402(한올 코드명: HL161ANS)'의 물질 특허를 획득했다.... ",https://www.pharmnews.com/news/articleView.html?idxno=240863,규제승인
009420,한올바이오파마,www.yakup.com,2024-03-13 09:38:00,"한올바이오파마-이뮤노반트, 항체신약 후보 ‘HL161ANS’ 美 물질 특허 승인","한올바이오파마 미국 파트너사 이뮤노반트(Immunovant)는 미국 특허 상표청(United States Patent and Trademark Office, USPTO)으로부터 자가면역질환 치료제 ‘IMVT-1402(한올 코드명: HL161ANS)’의 물질 특허를 획득했다고... ",http://www.yakup.com/news/index.html?mode=view&cat=12&nid=291624,신약개발
009420,한올바이오파마,www.pinpointnews.co.kr,2024-03-12 00:22:00,에스텍파마 주가 불기둥...폴라리스오피스그룹에 인수 호재로,종근당 한올바이오파마 프레스티지바이오파마 선바이오 이수앱지스 삼성바이오로직스 팬젠 에이프로젠바이오로직스 대웅제약 알테오젠 프레스티지바이오로직스 LG화학  프레스티지바이오파마 한미약품 선바이오... ,https://www.pinpointnews.co.kr/news/articleView.html?idxno=251238,인수합병
139480,이마트,www.dnews.co.kr,2024-03-13 09:22:00,"'스포츠 덕후 노린다'...이마트24, 프로배구 카본카드 출시",이마트24는 ‘SCC KOVO프로배구 카본카드’ 500개를 한정 예약 판매한다고 이날 밝혔다. 대원미디어와 함께... 이마트24는 이번 출시를 기념해 컬렉션카드 한 박스를 정상가 대비 10% 할인한 가격에 판매한다. 이달 13... ,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202403130851492510815,신제품출시
067630,HLB생명과학,www.mkhealth.co.kr,2024-03-12 06:02:00,"HLB, FDA 승인 기대감 커지는 가운데 결과 기다려봐야 신중론도",HLB제약은 최근 리보세라닙과 캄렐리주맙의 판권을 각각 보유한 HLB생명과학과 CG인바이츠로부터 국내 독점 판매권을 확보했다. HLB가 미국에서 신약허가를 받으면 HLB생명과학과 CG인바이츠는... ,http://www.mkhealth.co.kr/news/articleView.html?idxno=67546,신약개발
328130,루닛,www.yna.co.kr,2024-03-13 09:31:00,"루닛 ""뉴질랜드 의료 AI기업 인수 법원 승인…5월 완료 목표""","의료 인공지능(AI) 기업 루닛은 최근 뉴질랜드 고등법원으로부터 뉴질랜드 소재 의료 AI 기업 '볼파라 헬스... 뉴질랜드 법원의 인수 관련 승인 절차는 두 차례에 걸쳐 진행되는데, 이번 1차 승인은 루닛의 인수 제안에... ",https://n.news.naver.com/mnews/article/001/0014559448?sid=101,인수합병
328130,루닛,digitalchosun.dizzo.com,2024-03-13 10:52:00,"루닛, 뉴질랜드 법원에 ‘볼파라’ 인수 승인 획득",중인 루닛이 지난달 뉴질랜드 금융당국의 인수 투자 승인에 이어 법원 승인까지 획득하며 사실상 모든 법적 절차를 통과하게 됐다. 의료 인공지능(AI) 기업 루닛(대표 서범석)은 최근 뉴질랜드 고등법원으로부터... ,http://digitalchosun.dizzo.com/site/data/html_dir/2024/03/13/2024031380070.html,규제승인
006040,동원산업,www.lkp.news,2024-03-12 14:06:00,"[기업탐구] 동원산업, M&A 3번 실패 왜?...""가격 재고재다 '손절'"" 보수적 투...","◆ 보령바이오파마, 제약·바이오 사업 진출 도모...인수가액 문제로 M&A 불발 동원산업이 보령바이오파마 인수 의사를 철회하면서 다시 원점으로 돌아갔다. 시장에선 양사가 약 한 달간의 실사 끝에 제시한 매각 가격... ",http://www.lkp.news/news/articleView.html?idxno=45119,인수합병
004170,신세계,www.news1.kr,2024-03-13 08:28:00,"신세계푸드, 베키아누보 홈카페 스페셜티 커피 2종 출시",신세계푸드(031440)는 합리적 가격으로 전문점 수준의 커피와 디저트를 즐기기 원하는 소비자들을 위해... 신세계푸드는 고품질 원두를 직접 선택해 합리적 가격으로 즐길 수 있는 홈카페 제품이 꾸준히 늘어날 것으로 보고... ,https://n.news.naver.com/mnews/article/421/0007407277?sid=101,신제품출시
007310,오뚜기,www.handmk.com,2024-03-13 10:32:00,"""매운맛이 대세"" 오뚜기 '타바스코 스콜피온 소스' 출시","오뚜기 제공  장기간 이어지는 고물가로 집밥 수요가 증가하고 있는 가운데, 소스 시장이 반사이익을... 최근 ㈜오뚜기는 강렬한 매운맛을 원하는 소비자 니즈를 반영해 글로벌 핫소스 브랜드 '타바스코(TABASCO)'의 신제품... ",http://www.handmk.com/news/articleView.html?idxno=20947,신제품출시
139130,DGB금융지주,www.moneys.co.kr,2024-03-12 06:16:00,'iM금융지주'로 엿본 성장 전략은… M&A로 비은행 강화,앞두고 DGB금융지주의 계열사 M&A(인수합병)에 관심이 쏠린다. DGB금융 차기 회장으로 낙점된 황병우 대구은행장은 M&A 전략가로 경험을 쌓아온 만큼 DGB금융은 시중은행 전환 이후 종합금융그룹으로 도약하기 위해... ,https://n.news.naver.com/mnews/article/417/0000987991?sid=101,인수합병
003230,삼양식품,www.mediapen.com,2024-03-12 16:56:00,"‘젊어진 삼양라면’ 3세 전병우, 거침없는 행보…신제품 성과는","삼양식품 오너3세 전병우 삼양라운드스퀘어(옛 삼양식품그룹) 전략총괄이 상무 승진 1년도 채 안 돼 거침없는 행보로 주목받고 있다. 지주사 출범 삼양라운드스퀘어의 첫 그룹 광고, 출시 60주년 삼양라면 캠페인 등... ",https://www.mediapen.com/news/view/903734,신제품출시
000080,하이트진로,www.news1.kr,2024-03-13 09:19:00,"하이트진로, 프랑스 카시스 리큐르 대표 브랜드 르제 2종 출시",하이트진로(000080)는 프랑스산 리큐르 브랜드 르제(LEJAY)의 대표 제품 2종을 출시한다고 13일 밝혔다. 르제는 1841년 프랑스 디종(Dijon)지역에서 시작된 전통 깊은 리큐르 브랜드다. 100% 순수 카시스(casis)로 만든... ,https://n.news.naver.com/mnews/article/421/0007407403?sid=101,신제품출시
069620,대웅제약,www.newsis.com,2024-03-13 10:43:00,"대웅제약, 비타민 '에너씨슬' 일본 출시…""8조 시장 도전""",제약기업 대웅제약이 일본 건강기능식품 시장에 출사표를 냈다. 대웅제약은 지난달 일본 온라인 쇼핑몰 '큐텐'(Qoo10)에 자사 비타민 '에너씨슬 퍼펙트샷'을 선보였다고 13일 밝혔다. 에너씨슬 퍼펙트샷은 대웅제약이... ,https://n.news.naver.com/mnews/article/003/0012423329?sid=102,신제품출시
025900,동화기업,www.pinpointnews.co.kr,2024-03-13 07:46:00,동화기업 주가 다시 꿈틀...바닥재와 벽재 신제품 론칭 행사 호평,"동화기업 주가가 소폭 올랐다. 13일 한국거래소에 따르면 전 거래일  0.90% 올라 6만 7600원에 거래를 마감했다. 주가는 급등이후 숨고르기에 벗어나려 하고 있다. 이달초 서울, 대전, 부산 3개 지역에서 바닥재와 벽재... ",https://www.pinpointnews.co.kr/news/articleView.html?idxno=251624,신제품출시
298380,에이비엘바이오,www.hankyung.com,2024-03-12 16:20:00,[미리보는 AACR] 이중항체·ADC 주무기로 국내 신약기업 대거 참전,이미 대세가 된 이중항체 AACR에 나서는 국내 기업 중 이중항체 기술을 선보이는 곳은 에이비엘바이오와 유한양행 등이다. 먼저 에이비엘바이오는 이중항체 면역항암제인 ‘ABL112’와 ‘ABL407’의 비임상 결과를... ,https://n.news.naver.com/mnews/article/015/0004958907?sid=105,신약개발
004800,효성,www.etoday.co.kr,2024-03-12 12:02:00,"조현상 효성 부회장, 한-베 경협위원장 위촉…“비즈니스 파트너십 강화”",이투데이=강문정 기자 | 대한상공회의소는 한국-베트남 경제협력위원회의 새로운 위원장으로 조현상 효성... 효성은 2007년 베트남에 진출하여 총 36억 달러(한화 약 4조8000억 원)를 투자하며 현지에서 9개 법인을 운영하고... ,https://www.etoday.co.kr/news/view/2339281,파트너쉽
003090,대웅,www.newsis.com,2024-03-13 10:43:00,"대웅제약, 비타민 '에너씨슬' 일본 출시…""8조 시장 도전""",제약기업 대웅제약이 일본 건강기능식품 시장에 출사표를 냈다. 대웅제약은 지난달 일본 온라인 쇼핑몰 '큐텐'(Qoo10)에 자사 비타민 '에너씨슬 퍼펙트샷'을 선보였다고 13일 밝혔다. 에너씨슬 퍼펙트샷은 대웅제약이... ,https://n.news.naver.com/mnews/article/003/0012423329?sid=102,신제품출시
003090,대웅,www.pointdaily.co.kr,2024-03-12 15:36:00,"[인터뷰] 대웅제약 신약Discovery센터 박준석 센터장, 신약 개발 R&D에서 답을...","대웅제약은 연 매출액의 10% 이상을 연구개발에 투자하며 '신약 파이프라인 구축 및 확대'에 전념하고... 1974년 부설 제약연구소를 처음으로 설립한 대웅제약은 1983년 중앙연구소를 설립했으며, 2001년에는 경기도... ",https://www.pointdaily.co.kr/news/articleView.html?idxno=192761,신약개발
280360,롯데웰푸드,www.news1.kr,2024-03-13 09:38:00,"롯데웰푸드, 글루텐프리 '더쌀로 사르르 고소한새우맛' 출시",롯데웰푸드(280360)는 밀가루에 거부감이 있는 소비자들도 부담없이 즐길 수 있는 '글루텐프리' 쌀 간식 '더쌀로 사르르 고소한새우맛'을 출시했다고 13일 밝혔다. 더쌀로 사르르 고소한새우맛은 '건강한 쌀로 만든 스낵'에... ,https://n.news.naver.com/mnews/article/421/0007407440?sid=101,신제품출시
005300,롯데칠성,www.yna.co.kr,2024-03-12 09:45:00,"롯데칠성음료, '펩시 제로슈거 제로카페인' 출시","펩시 제로슈거 누적 12억캔 판매 롯데칠성음료는 제로 슈거, 제로 카페인으로 즐길 수 있는 '펩시 제로슈거 제로카페인'을 출시한다고 12일 밝혔다. 롯데칠성은 '펩시 제로슈거'의 지속적인 인기와 디카페인 음료에 대한... ",https://n.news.naver.com/mnews/article/001/0014556897?sid=101,신제품출시
039200,오스코텍,www.edaily.co.kr,2024-03-12 14:33:00,"오스코텍, 잘 키운 신약 하나로 올해 BEP 달성 유력","원개발사인 오스코텍(039200)이 올해 손익분기점(BEP)에 도달할 지 주목된다. 예상보다 단축된 심사 일정에 단계별 기술료(마일스톤) 유입 시기도 앞당겨질 전망이다. 왼쪽부터 윤태영, 김정근 오스코텍 대표.(제공... ",https://n.news.naver.com/mnews/article/018/0005690416?sid=105,신약개발
039130,하나투어,www.yna.co.kr,2024-03-13 10:27:00,"하나투어 제우스월드, 파리 올림픽 겨냥 여행상품 출시",하나투어의 고급 맞춤 여행 브랜드 제우스월드는 프랑스 파리 올림픽의 열기를 경험할 수 있는 여행 상품을 출시했다고 13일 밝혔다. 올해 파리 올림픽 기간인 8월에 출발하는 ▲ 파리 에어텔 6일 ▲ 프랑스 미식여행... ,https://n.news.naver.com/mnews/article/001/0014559610?sid=103,신제품출시
086900,메디톡스,www.edaily.co.kr,2024-03-13 12:05:00,"메디톡스 관계사 리비옴, 차세대 마이크로바이옴 신약 임상1상서 안전성 확인",메디톡스(086900) 관계사인 신약 개발 기업 ‘리비옴’이 유전자재조합 기반 마이크로바이옴 신약 ‘LIV001’의 호주 임상1상 시험을 완료했다고 13일 밝혔다. 대표적 난치성 면역질환인 염증성장질환 치료를 위해... ,https://n.news.naver.com/mnews/article/018/0005691192?sid=101,신약개발
025320,시노펙스,www.nbntv.kr,2024-03-13 10:36:00,"시노펙스 개발 이동형 혈액투석 시스템, 이달 중 식약처 품목 승인 '눈앞'",시노펙스의 이동형 인공신장기(왼쪽)와 이동형 혈액투석용 정수기 [사진 시노펙스] '범부처전주기의료기기 연구개발사업단(KMDF)'이 2024년 10대 대표 과제로 선정한 시노펙스의 이동형 혈액투석 관련 제품이 이달... ,https://www.nbntv.kr/news/articleView.html?idxno=88995,신약개발
003850,보령,www.yna.co.kr,2024-03-13 07:43:00,"보령-미림진 ""난치성 면역질환 분야 신약 개발 협력""","제약사 보령은 신약 개발 기업 미림진과 난치성 면역질환 분야 혁신 신약을 개발하기 위한 업무협약(MOU)을... 장두현 보령 대표는 ""미림진과 협력을 통해 보령의 R&D 분야 경쟁력을 더욱 증진하는 계기가 될 것""이라고... ",https://n.news.naver.com/mnews/article/001/0014559241?sid=101,신약개발
003850,보령,www.newsis.com,2024-03-13 09:45:00,"보령·미림진, '난치성 면역질환신약 공동개발' 협약체결",신약개발 기업 미림진과 국내 제약사 보령이 혁신신약 개발에 나선다. 미림진은 보령과 혁신신약 개발 분야 업무협약(MOU)을 체결했다고 13일 밝혔다. 양사는 이번 전략적 업무 제휴를 바탕으로 난치성 면역질환... ,https://n.news.naver.com/mnews/article/003/0012423104?sid=102,파트너쉽
000400,롯데손해보험,www.ekn.kr,2024-03-12 17:02:00,"MG·롯데손해보험, 또 들썩이는 M&A…관건은 ‘체력 입증’","롯데손해보험도 최근 매각설이 탄력을 받고 있다. 업계에 따르면 롯데손보가 지난달 신한금융지주, 하나금융지주, 우리금융지주 등 국내 금융사들 대상으로 투자설명서(IM)을 배포한 것으로 알려져 물밑에선 이미... ",https://www.ekn.kr/web/view.php?key=20240312026033636,인수합병
047920,HLB제약,www.mkhealth.co.kr,2024-03-12 06:02:00,"HLB, FDA 승인 기대감 커지는 가운데 결과 기다려봐야 신중론도",◆HLB·HLB제약 등 그룹 주가 연일 상승 11일 HLB그룹에 따르면 옵텀Rx와 서브유Rx 등 미국 주요 PBM들이 리보세라닙과 캄렐리주맙을 '시판될 것으로 현저히 예상되는 의약품(significant predicted forthcoming drug)' 목록에... ,http://www.mkhealth.co.kr/news/articleView.html?idxno=67546,신약개발
020560,아시아나항공,www.viva100.com,2024-03-13 06:42:00,"“약이냐, 독이냐’…LCC, 3대 악재에 아시아나 화물인수 복잡해진 셈법","낮은 운임의 영향으로 올해 운송 실적 역시 기대치를 밑돌 공산이 크다.이런 상황에서도 아시아나항공은 노후화 된 기체 교환에 막대한 비용을 투입하기로 결정하면서, 화물사업부의 매각 가격이 내려가기는 쉽지... ",https://www.viva100.com/main/view.php?key=20240312010003469,인수합병
093370,후성,news.mtn.co.kr,2024-03-12 17:46:00,"EDGC, 후성유전체로 '노화' 정밀 진단…역노화 신약도 개발중",최근 후성유전체를 기반으로 생체나이를 정밀하게 측정하는 서비스를 국내 최초로 출시했기 때문인데요.... 자세한 내용 탁지훈 기자가 전합니다.[기사내용]이원다이애그노믹스 EDGC가 최근 선보인 후성유전체 기반... ,https://news.mtn.co.kr/news-detail/2024031216422635756,신약개발
048410,현대바이오,www.yna.co.kr,2024-03-12 11:26:00,"현대바이오, 임상시험 수탁기관 에이디엠코리아 인수","현대바이오사이언스가 임상시험수탁기관(CRO) 에이디엠코리아 주식 502만주를 약 204억원에 취득하는 계약을 체결했다고 12일 밝혔다. 이는 지분율 23%인 기존 최대 주주 모비스의 지분 전체를 양수하는 것으로, 취득... ",https://n.news.naver.com/mnews/article/001/0014557425?sid=101,인수합병
048410,현대바이오,www.thebigdata.co.kr,2024-03-12 04:08:00,"현대바이오, 주가 급등…'임상수탁기관' 경영권 인수",현대바이오 주가가 시간외 매매에서 급등했다. 12일 한국거래소에 따르면 전일 시간외 매매에서 현대바이오 주가는 종가보다 3.41% 오른 2만1200원에 거래를 마쳤다. 현대바이오의 시간외 거래량은 3만43주이다. 이는... ,http://www.thebigdata.co.kr/view.php?ud=202403120406034406cd1e7f0bdf_23,신약개발
115450,HLB테라퓨틱스,www.thebigdata.co.kr,2024-03-13 05:34:00,"HLB테라퓨틱스, 주가 급등…'리보세라닙 병용요법' FDA 신약허가 기대↑",HLB테라퓨틱스 주가가 시간외 매매에서 급등했다. 13일 한국거래소에 따르면 전일 시간외 매매에서 HLB테라퓨틱스 주가는 종가보다 2.28% 오른 9410원에 거래를 마쳤다. HLB테라퓨틱스의 시간외 거래량은... ,http://www.thebigdata.co.kr/view.php?ud=202403130532329625cd1e7f0bdf_23,신약개발
